Date : 2026-02-13 08:51:15
Directory : /home/babs/PycharmProjects/MusicLibrary
Total : 174 files,  34792 codes, 5645 comments, 8159 blanks, all 48596 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/babs/PycharmProjects/MusicLibrary/file_organizer_preview_dialog.py      | Python           |        101 |         17 |         27 |        145 |
| /home/babs/PycharmProjects/MusicLibrary/genre_edit.py                         | Python           |        110 |         17 |         29 |        156 |
| /home/babs/PycharmProjects/MusicLibrary/genre_tracks.py                       | Python           |        122 |         24 |         34 |        180 |
| /home/babs/PycharmProjects/MusicLibrary/genre_view.py                         | Python           |        436 |         70 |        101 |        607 |
| /home/babs/PycharmProjects/MusicLibrary/gui.py                                | Python           |        419 |         88 |         99 |        606 |
| /home/babs/PycharmProjects/MusicLibrary/help_guide.html                       | HTML             |        676 |          0 |          2 |        678 |
| /home/babs/PycharmProjects/MusicLibrary/image_searcher.py                     | Python           |        508 |        113 |        145 |        766 |
| /home/babs/PycharmProjects/MusicLibrary/import_dialog.py                      | Python           |        238 |         34 |         37 |        309 |
| /home/babs/PycharmProjects/MusicLibrary/influence_artist_node.py              | Python           |         89 |         25 |         32 |        146 |
| /home/babs/PycharmProjects/MusicLibrary/influence_graph.py                    | Python           |        647 |        155 |        165 |        967 |
| /home/babs/PycharmProjects/MusicLibrary/influences_cache.py                   | Python           |         42 |          5 |          7 |         54 |
| /home/babs/PycharmProjects/MusicLibrary/influences_dialog.py                  | Python           |        243 |         38 |         60 |        341 |
| /home/babs/PycharmProjects/MusicLibrary/influences_view.py                    | Python           |        152 |         32 |         47 |        231 |
| /home/babs/PycharmProjects/MusicLibrary/library_import.py                     | Python           |        468 |        118 |         99 |        685 |
| /home/babs/PycharmProjects/MusicLibrary/library_import_album.py               | Python           |        232 |         40 |         56 |        328 |
| /home/babs/PycharmProjects/MusicLibrary/license.md                            | Markdown         |         45 |          0 |         42 |         87 |
| /home/babs/PycharmProjects/MusicLibrary/list_imports.py                       | Python           |         20 |          1 |          5 |         26 |
| /home/babs/PycharmProjects/MusicLibrary/logger_config.py                      | Python           |         43 |         10 |         14 |         67 |
| /home/babs/PycharmProjects/MusicLibrary/lyrics_search.py                      | Python           |         70 |         49 |         25 |        144 |
| /home/babs/PycharmProjects/MusicLibrary/menu_bar.py                           | Python           |        194 |         54 |         55 |        303 |
| /home/babs/PycharmProjects/MusicLibrary/metadata_artwork.py                   | Python           |        244 |         49 |         75 |        368 |
| /home/babs/PycharmProjects/MusicLibrary/metadata_id3_writer.py                | Python           |         55 |         11 |         25 |         91 |
| /home/babs/PycharmProjects/MusicLibrary/metadata_mapping.py                   | Python           |        373 |          5 |         12 |        390 |
| /home/babs/PycharmProjects/MusicLibrary/metadata_properties.py                | Python           |        240 |         37 |         82 |        359 |
| /home/babs/PycharmProjects/MusicLibrary/metadata_text.py                      | Python           |        373 |         67 |         65 |        505 |
| /home/babs/PycharmProjects/MusicLibrary/metadata_writer.py                    | Python           |        739 |        100 |        150 |        989 |
| /home/babs/PycharmProjects/MusicLibrary/metadata_writer_dialog.py             | Python           |        304 |         51 |         90 |        445 |
| /home/babs/PycharmProjects/MusicLibrary/metadata_writer_vorbis.py             | Python           |         28 |         10 |         14 |         52 |
| /home/babs/PycharmProjects/MusicLibrary/metdata_controller.py                 | Python           |        392 |         58 |        115 |        565 |
| /home/babs/PycharmProjects/MusicLibrary/mood_dialog.py                        | Python           |        296 |         56 |         73 |        425 |
| /home/babs/PycharmProjects/MusicLibrary/moods_view.py                         | Python           |        439 |         74 |        107 |        620 |
| /home/babs/PycharmProjects/MusicLibrary/music_controller.py                   | Python           |         51 |         13 |         22 |         86 |
| /home/babs/PycharmProjects/MusicLibrary/navigation_dock.py                    | Python           |        178 |         41 |         52 |        271 |
| /home/babs/PycharmProjects/MusicLibrary/nowplaying_view.py                    | Python           |        226 |         46 |         72 |        344 |
| /home/babs/PycharmProjects/MusicLibrary/place_assoc_details.py                | Python           |        230 |         38 |         52 |        320 |
