"filename", "language", "Python", "HTML", "Markdown", "pip requirements", "JSON", "Ini", "XML", "comment", "blank", "total"
"/home/babs/PycharmProjects/MusicLibrary/artist_detail_places.py", "Python", 292, 0, 0, 0, 0, 0, 0, 77, 80, 449
"/home/babs/PycharmProjects/MusicLibrary/artist_detail_wiki.py", "Python", 91, 0, 0, 0, 0, 0, 0, 21, 31, 143
"/home/babs/PycharmProjects/MusicLibrary/artist_fuzzy_match.py", "Python", 111, 0, 0, 0, 0, 0, 0, 11, 22, 144
"/home/babs/PycharmProjects/MusicLibrary/artist_group_dialog.py", "Python", 165, 0, 0, 0, 0, 0, 0, 19, 45, 229
"/home/babs/PycharmProjects/MusicLibrary/artist_view.py", "Python", 452, 0, 0, 0, 0, 0, 0, 70, 112, 634
"/home/babs/PycharmProjects/MusicLibrary/asset_paths.py", "Python", 44, 0, 0, 0, 0, 0, 0, 14, 24, 82
"/home/babs/PycharmProjects/MusicLibrary/assets/audio_analysis.svg", "XML", 0, 0, 0, 0, 0, 0, 17, 4, 6, 27
"/home/babs/PycharmProjects/MusicLibrary/assets/audio_settings.svg", "XML", 0, 0, 0, 0, 0, 0, 22, 5, 6, 33
"/home/babs/PycharmProjects/MusicLibrary/assets/cancel.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 2, 3, 10
"/home/babs/PycharmProjects/MusicLibrary/assets/checkmark.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 2, 5
"/home/babs/PycharmProjects/MusicLibrary/assets/default_album.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 3, 8, 24
"/home/babs/PycharmProjects/MusicLibrary/assets/default_artist.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 4, 6, 16
"/home/babs/PycharmProjects/MusicLibrary/assets/default_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 1, 5, 22
"/home/babs/PycharmProjects/MusicLibrary/assets/display_settings.svg", "XML", 0, 0, 0, 0, 0, 0, 18, 5, 4, 27
"/home/babs/PycharmProjects/MusicLibrary/assets/equalizer.svg", "XML", 0, 0, 0, 0, 0, 0, 18, 6, 7, 31
"/home/babs/PycharmProjects/MusicLibrary/assets/exit.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 2, 5, 11
"/home/babs/PycharmProjects/MusicLibrary/assets/forward_button.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 1, 1, 16
"/home/babs/PycharmProjects/MusicLibrary/assets/full_screen.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 4, 5, 15
"/home/babs/PycharmProjects/MusicLibrary/assets/import.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 3, 5, 22
"/home/babs/PycharmProjects/MusicLibrary/assets/manage_library.svg", "XML", 0, 0, 0, 0, 0, 0, 18, 3, 5, 26
"/home/babs/PycharmProjects/MusicLibrary/assets/minus.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 1, 2, 6
"/home/babs/PycharmProjects/MusicLibrary/assets/next_button.svg", "XML", 0, 0, 0, 0, 0, 0, 25, 4, 6, 35
"/home/babs/PycharmProjects/MusicLibrary/assets/pause_button.svg", "XML", 0, 0, 0, 0, 0, 0, 24, 4, 5, 33
